"timestamp","Host","severity_name","severity","description","cmdline","files_written","entities"
"2025-03-28T13:25:25.528Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit","",
"2025-03-28T13:25:25.022Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe  --audit","@{filename=CRYPT32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=WINSTA.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=python27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=PyWinTypes27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=WTSAPI32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=msvcm90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=msvcp90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=msvcr90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=MSASN1.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325},@{filename=unicodedata.pyd; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI63042; timestamp=1743168325}",
"2025-03-28T13:24:44.118Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe","",
"2025-03-28T13:24:41.99Z","10.0.9.44","Low","30","This file is classified as Adware/PUP based on its SHA256 hash.","windows-privesc-check2.exe","@{filename=MSASN1.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=WTSAPI32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=CRYPT32.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=python27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=msvcp90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=PyWinTypes27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=msvcr90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=msvcm90.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=WINSTA.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168284},@{filename=PyWinTypes27.dll; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Local\Temp\2\_MEI5402; timestamp=1743168283}",
"2025-03-28T13:22:43.235Z","10.0.9.44","Low","30","A file written to the file-system was classified as Adware/PUP based on its SHA256 hash.","C:\Windows\Explorer.EXE","@{filename=backup.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743168706},@{filename=BackupLog.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743168875},@{filename=Scripts.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743168706},@{filename=Scripts.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743169023},@{filename=Scripts.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743168875},@{filename=backup.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743168786},@{filename=Scripts.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743169463},@{filename=BackupLog.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743169023},@{filename=RegistryBackup.reg; filepath=\Device\Mup\tsclient\a\Desktop; timestamp=1743169334},@{filename=Scripts.lnk; filepath=\Device\HarddiskVolume1\Users\jack\AppData\Roaming\Microsoft\Windows\Recent; timestamp=1743168946}",
"2025-03-28T12:53:18.716Z","10.0.9.11","High","70","A process appears to be using Windows Management Instrumentation (WMI) to suspiciously execute code. Investigate the command line and process tree.","cmd.exe /Q /c net group ""Server Admins"" plumber2 /add /domain 1> \Windows\Temp\ZvMNmq 2>&1","",
"2025-03-28T12:53:07.904Z","10.0.9.11","High","70","A process appears to be using Windows Management Instrumentation (WMI) to suspiciously execute code. Investigate the command line and process tree.","cmd.exe /Q /c net group ""Server Admins"" plumber /add /domain 1> \Windows\Temp\ORgjAi 2>&1","",
"2025-03-28T12:51:55.227Z","10.0.9.11","High","70","A user created a new user account. Attackers can create new accounts to maintain their foothold on a system. Investigate the active user and newly created account.","C:\Windows\system32\net1  user plumber2 Pentest123 /domain /add ","",
"2025-03-28T12:51:55.224Z","10.0.9.11","High","70","A user created a new user account. Attackers can create new accounts to maintain their foothold on a system. Investigate the active user and newly created account.","net  user plumber2 Pentest123 /domain /add ","",
"2025-03-28T12:51:55.222Z","10.0.9.11","High","70","A process appears to be using Windows Management Instrumentation (WMI) to suspiciously execute code. Investigate the command line and process tree.","cmd.exe /Q /c net user plumber2 Pentest123 /domain /add 1> \Windows\Temp\vxQeHD 2>&1","",
"2025-03-28T11:50:16.69Z",,"Informational","16","Techniques: Windows Management Instrumentation",,"","@{agent_ids=d87ff20320ca4b62b72327a7a2aa45c9; file_name=cmd.exe net.exe net1.exe; image_file_name=\Device\HarddiskVolume1\Windows\System32\cmd.exe \Device\HarddiskVolume1\Windows\System32\net.exe \Device\HarddiskVolume1\Windows\System32\net1.exe; process=116 2040 2152 2256 2520 2900 3040 3064 3152 3324 4960 5472; sha256=0afb09abb7ffb377637c4532655f3b45097efd0afb04f343d875dd4133ea9296 b27dd8e9d97e8f88b25b71264b3881c523d2c2ea5d37e89ef672be0cdae5debb f540747022e0d67722989765b5db268707e4e71538ae0764110eec7b8d9aeef6; username=sabrina@PLUMETECH.LOCAL}"
"2025-03-28T10:48:47.396Z","10.0.9.11","Medium","50","A process appears to be abusing Windows Management Instrumentation (WMI). Some malware exploits WMI to perform malicious activities. Investigate the process tree.","cmd.exe /Q /c net group ""Domain Admins"" 1> \Windows\Temp\PaqrOB 2>&1","",
"2025-03-28T10:48:19.727Z","10.0.9.11","High","70","A user created a new user account. Attackers can create new accounts to maintain their foothold on a system. Investigate the active user and newly created account.","net  group ""Domain Admins"" plumber /add /domain ","",
"2025-03-28T10:48:19.725Z","10.0.9.11","Medium","50","A process appears to be abusing Windows Management Instrumentation (WMI). Some malware exploits WMI to perform malicious activities. Investigate the process tree.","cmd.exe /Q /c net group ""Domain Admins"" plumber /add /domain 1> \Windows\Temp\CPmLjT 2>&1","",
"2025-03-28T10:47:41.539Z","10.0.9.11","High","70","A user created a new user account. Attackers can create new accounts to maintain their foothold on a system. Investigate the active user and newly created account.","net  user plumber Pentest123 /domain /add ","",
"2025-03-28T10:47:41.537Z","10.0.9.11","High","70","A process appears to be using Windows Management Instrumentation (WMI) to suspiciously execute code. Investigate the command line and process tree.","cmd.exe /Q /c net user plumber Pentest123 /domain /add 1> \Windows\Temp\QxFBzO 2>&1","",
"2025-03-28T10:46:35.665Z","10.0.9.11","High","70","A user created a new user account. Attackers can create new accounts to maintain their foothold on a system. Investigate the active user and newly created account.","net  user add plumber Pentest123 /domain /add ","",
"2025-03-28T10:46:35.661Z","10.0.9.11","High","70","A process appears to be using Windows Management Instrumentation (WMI) to suspiciously execute code. Investigate the command line and process tree.","cmd.exe /Q /c net user add plumber Pentest123 /domain /add 1> \Windows\Temp\ukGmiF 2>&1","",
"2025-03-28T10:42:09.478Z","10.0.9.11","High","70","A process appears to be using Windows Management Instrumentation (WMI) to suspiciously execute code. Investigate the command line and process tree.","cmd.exe /Q /c whoami 1> \Windows\Temp\EhgfzK 2>&1","",
"2025-03-28T08:30:04.079Z","10.0.9.45","High","70","A process appears to be staging data. Adversaries can migrate data to a central location prior to exfiltration. Review the accessed files and process tree.","tar czf /tmp/linux_logs.tar.gz --ignore-failed-read /root/.bash_history /home/ubuntu/.bash_history /home/admin/.bash_history /var/log /var/lib/influxdb/ /var/lib/grafana/ /opt/scadalts/mysql/server/data/ /opt/scadalts/mysql/server/mysqld.log /opt/scadalts/tomcat/server/logs/","",
"2025-03-28T08:30:03.469Z","10.0.9.60","High","70","A process appears to be staging data. Adversaries can migrate data to a central location prior to exfiltration. Review the accessed files and process tree.","tar czf /tmp/linux_logs.tar.gz --ignore-failed-read /root/.bash_history /home/ubuntu/.bash_history /home/admin/.bash_history /var/log /var/lib/influxdb/ /var/lib/grafana/ /opt/scadalts/mysql/server/data/ /opt/scadalts/mysql/server/mysqld.log /opt/scadalts/tomcat/server/logs/","",
